"Rank","Player","Team","Position"
"1","Mike Trout","LAA","CF"
"2","Miguel Cabrera","DET","3B"
"3","Clayton Kershaw","LAD","SP"
"4","Paul Goldschmidt","ARI","1B"
"5","Matt Carpenter","STL","2B"
"6","Andrew McCutchen","PIT","CF"
"7","Joey Votto","CIN","1B"
"8","Chris Davis","BAL","1B"
"9","Josh Donaldson","OAK","3B"
"10","Shin-Soo Choo","CIN","CF"
"11","Freddie Freeman","ATL","1B"
"12","Robinson Cano","NYY","2B"
"13","Max Scherzer","DET","SP"
"14","Edwin Encarnacion","TOR","1B"
"15","Jason Kipnis","CLE","2B"
"16","Cliff Lee","PHI","SP"
"17","Yu Darvish","TEX","SP"
"18","David Ortiz","BOS","DH"
"","Hisashi Iwakuma","SEA","SP"
"20","Matt Holliday","STL","LF"
"21","Greg Holland","KC","RP"
"22","Jose Fernandez","MIA","SP"
"23","Jayson Werth","WSH","RF"
"24","Koji Uehara","BOS","RP"
"25","Adam Wainwright","STL","SP"
"26","Chris Sale","CHW","SP"
"27","Matt Harvey","NYM","SP"
"28","Evan Longoria","TB","3B"
"29","Carlos Santana","CLE","C"
"30","Dustin Pedroia","BOS","2B"
"31","Joe Nathan","TEX","RP"
"32","Carlos Gomez","MIL","CF"
"33","Troy Tulowitzki","COL","SS"
"34","Craig Kimbrel","ATL","RP"
"35","Hunter Pence","SF","RF"
"36","Ryan Zimmerman","WSH","3B"
"37","Yadier Molina","STL","C"
"38","Adrian Beltre","TEX","3B"
"39","David Wright","NYM","3B"
"40","Jay Bruce","CIN","RF"
"41","Kenley Jansen","LAD","RP"
"42","Joe Mauer","MIN","C"
"43","Eric Hosmer","KC","1B"
"44","Jacoby Ellsbury","BOS","CF"
"45","Michael Cuddyer","COL","RF"
"","Buster Posey","SF","C"
"47","Bartolo Colon","OAK","SP"
"","Ben Zobrist","TB","2B"
"49","Adam Jones","BAL","CF"
"50","Prince Fielder","DET","1B"
"51","Felix Hernandez","SEA","SP"
"","Mark Melancon","PIT","RP"
"","Kyle Seager","SEA","3B"
"54","Carlos Gonzalez","COL","LF"
"55","Madison Bumgarner","SF","SP"
"56","Justin Upton","ATL","LF"
"57","Anibal Sanchez","DET","SP"
"58","Zack Greinke","LAD","SP"
"59","Hanley Ramirez","LAD","SS"
"","Allen Craig","STL","1B"
"61","Coco Crisp","OAK","CF"
"62","Brandon Belt","SF","1B"
"63","Mariano Rivera","NYY","RP"
"64","Shane Victorino","BOS","RF"
"65","Jose Bautista","TOR","RF"
"66","Alfonso Soriano","NYY","LF"
"67","Mat Latos","CIN","SP"
"68","Glen Perkins","MIN","RP"
"69","Bryce Harper","WSH","LF"
"","Manny Machado","BAL","3B"
"71","Jordan Zimmermann","WSH","SP"
"72","Joaquin Benoit","DET","RP"
"73","Yasiel Puig","LAD","RF"
"74","Ervin Santana","KC","SP"
"","Travis Wood","CHC","SP"
"76","Patrick Corbin","ARI","SP"
"77","Jean Segura","MIL","SS"
"78","Ian Kinsler","TEX","2B"
"79","James Shields","KC","SP"
"80","Giancarlo Stanton","MIA","RF"
"81","Neal Cotts","TEX","RP"
"","Ian Desmond","WSH","SS"
"83","Pedro Alvarez","PIT","3B"
"84","Adrian Gonzalez","LAD","1B"
"85","Chase Utley","PHI","2B"
"86","Marlon Byrd","PIT","RF"
"","Clay Buchholz","BOS","SP"
"88","Mike Anthony Napoli","BOS","1B"
"89","Jonathan Lucroy","MIL","C"
"90","Edward Mujica","STL","RP"
"","Derek Holland","TEX","SP"
"92","Stephen Strasburg","WSH","SP"
"93","Carlos Ivan Beltran","STL","RF"
"94","Jhonny Peralta","DET","SS"
"95","Brett Gardner","NYY","CF"
"96","Justin Masterson","CLE","SP"
"97","Julio Teheran","ATL","SP"
"98","Hiroki Kuroda","NYY","SP"
"","Tony Watson","PIT","RP"
"100","Billy Butler","KC","DH"
