"Rank","Player","Team","Position"
"1","Vladimir Guerrero Jr.","TOR","DH"
"2","Trea Turner","LAD","SS"
"3","Freddie Freeman","ATL","1B"
"4","Juan Soto","WSH","LF"
"5","Walker Buehler","LAD","SP"
"6","Austin Riley","ATL","3B"
"7","Bryce Harper","PHI","RF"
"8","Rafael Devers","BOS","3B"
"9","Paul Goldschmidt","STL","1B"
"10","Matt Olson","OAK","1B"
"11","Bo Bichette","TOR","SS"
"12","Marcus Semien","TOR","2B"
"13","Jose Ramirez","CLE","3B"
"14","Nick Castellanos","CIN","RF"
"15","Max Scherzer","LAD","SP"
"16","Zack Wheeler","PHI","SP"
"17","Aaron Judge","NYY","RF"
"18","Fernando Tatis Jr.","SD","SS"
"19","Kevin Gausman","SF","SP"
"20","Bryan Reynolds","PIT","LF"
"21","Corbin Burnes","MIL","SP"
"22","Carlos Correa","HOU","SS"
"23","Robbie Ray","TOR","SP"
"24","Teoscar Hernandez","TOR","RF"
"25","Salvador Perez","KC","C"
"26","Ozzie Albies","ATL","2B"
"27","Julio Urias","LAD","SP"
"28","Max Muncy","LAD","1B"
"29","Mitch Haniger","SEA","RF"
"30","Jose Altuve","HOU","2B"
"31","Adam Wainwright","STL","SP"
"32","Liam Hendriks","CHW","RP"
"33","Josh Hader","MIL","RP"
"34","Yuli Gurriel","HOU","1B"
"35","Brandon Lowe","TB","2B"
"36","Carlos Rodon","CHW","SP"
"37","Gerrit Cole","NYY","SP"
"38","Xander Bogaerts","BOS","SS"
"39","Charlie Morton","ATL","SP"
"40","Brandon Woodruff","MIL","SP"
"41","Kyle Tucker","HOU","LF"
"42","J.D. Martinez","BOS","LF"
"43","Yordan Alvarez","HOU","DH"
"44","Cedric Mullins","BAL","CF"
"45","Jose Abreu","CHW","1B"
"46","Brandon Crawford","SF","SS"
"47","Manny Machado","SD","3B"
"48","Jonathan India","CIN","3B"
"49","Jorge Polanco","MIN","SS"
"50","Joey Votto","CIN","1B"
"51","Ty France","SEA","3B"
"52","Nolan Arenado","STL","3B"
"53","Kenley Jansen","LAD","RP"
"54","Max Fried","ATL","SP"
"55","Lance McCullers Jr.","HOU","SP"
"56","Justin Turner","LAD","3B"
"57","Whit Merrifield","KC","RF"
"58","Lance Lynn","CHW","SP"
"59","Tyler O'Neill","STL","LF"
"60","Frankie Montas","OAK","SP"
"61","Freddy Peralta","MIL","RP"
"62","Chris Bassitt","OAK","SP"
"63","Pete Alonso","NYM","1B"
"64","Sandy Alcantara","MIA","SP"
"65","Logan Webb","SF","SP"
"66","Joe Musgrove","SD","SP"
"67","Raisel Iglesias","LAA","RP"
"","Chris Flexen","SEA","RP"
"69","Kyle Seager","SEA","3B"
"70","Starling Marte","OAK","CF"
"71","C.J. Cron","COL","1B"
"72","Marcus Stroman","NYM","SP"
"73","Randy Arozarena","TB","LF"
"74","Anthony DeSclafani","SF","SP"
"75","Jesse Winker","CIN","RF"
"76","Giancarlo Stanton","NYY","DH"
"77","Buster Posey","SF","C"
"78","Joey Gallo","NYY","CF"
"79","Corey Seager","LAD","SS"
"80","Adam Frazier","SD","2B"
"81","Trevor Rogers","MIA","SP"
"82","Jose Berrios","TOR","SP"
"83","Robbie Grossman","DET","LF"
"84","Hunter Renfroe","BOS","RF"
"85","Tim Anderson","CHW","SS"
"86","Yoan Moncada","CHW","3B"
"87","Ryan Pressly","HOU","RP"
"88","Jake Cronenworth","SD","2B"
"89","Craig Kimbrel","CHW","RP"
"90","Mookie Betts","LAD","RF"
"91","Austin Meadows","TB","DH"
"92","Jonathan Schoop","DET","2B"
"93","Mark Melancon","SD","RP"
"","Jordan Romano","TOR","SP"
"95","Mark Canha","OAK","LF"
"96","Nicky Lopez","KC","2B"
"97","Adam Duvall","ATL","LF"
"98","Tyler Mahle","CIN","SP"
"99","Alex Reyes","STL","RP"
"100","Kris Bryant","SF","3B"
