"Rank","Player","Team","Position"
"1","Mike Trout","LAA","CF"
"2","Jon Lester","CHC","SP"
"3","Joey Votto","CIN","1B"
"","Johnny Cueto","SF","SP"
"","Freddie Freeman","ATL","1B"
"","Paul Goldschmidt","ARI","1B"
"7","David Ortiz","BOS","DH"
"","Josh Donaldson","TOR","3B"
"9","Max Scherzer","WSH","SP"
"","Anthony Rizzo","CHC","1B"
"11","Justin Verlander","DET","SP"
"12","Daniel Murphy","WSH","2B"
"13","Kyle Hendricks","CHC","SP"
"14","Nolan Arenado","COL","3B"
"15","Jose Altuve","HOU","2B"
"16","Zack Britton","BAL","RP"
"17","Clayton Kershaw","LAD","SP"
"18","Robinson Cano","SEA","2B"
"19","Miguel Cabrera","DET","1B"
"20","Mookie Betts","BOS","RF"
"21","Adrian Beltre","TEX","3B"
"22","Aaron Sanchez","TOR","SP"
"23","Madison Bumgarner","SF","SP"
"24","Kris Bryant","CHC","3B"
"25","Rick Porcello","BOS","SP"
"26","Jose Fernandez","MIA","SP"
"27","Christian Yelich","MIA","LF"
"28","Chris Sale","CHW","SP"
"29","Tanner Roark","WSH","SP"
"30","Corey Seager","LAD","SS"
"31","Charlie Blackmon","COL","CF"
"32","Corey Kluber","CLE","SP"
"33","Masahiro Tanaka","NYY","SP"
"34","Dustin Pedroia","BOS","2B"
"35","Andrew Miller","CLE","RP"
"36","Cole Hamels","TEX","SP"
"37","J.A. Happ","TOR","SP"
"38","Mark Melancon","WSH","RP"
"39","Jose Ramirez","CLE","3B"
"40","Rich Hill","LAD","SP"
"","Bryce Harper","WSH","RF"
"","Jose Quintana","CHW","SP"
"43","Nelson Cruz","SEA","DH"
"","Jake Arrieta","CHC","SP"
"","Carlos Santana","CLE","DH"
"46","Noah Syndergaard","NYM","SP"
"47","Jean Segura","ARI","2B"
"48","Carlos Correa","HOU","SS"
"49","Aroldis Chapman","CHC","RP"
"50","Hanley Ramirez","BOS","1B"
"51","Xander Bogaerts","BOS","SS"
"52","Manny Machado","BAL","3B"
"53","Wil Myers","SD","1B"
"54","DJ LeMahieu","COL","2B"
"55","Ian Desmond","TEX","CF"
"56","Edwin Encarnacion","TOR","DH"
"57","Matt Carpenter","STL","3B"
"","Sam Dyson","TEX","RP"
"59","Roberto Osuna","TOR","RP"
"60","Kenley Jansen","LAD","RP"
"","Danny Duffy","KC","SP"
"","Carlos Martinez","STL","SP"
"63","Jason Kipnis","CLE","2B"
"64","Kyle Seager","SEA","3B"
"65","Brandon Belt","SF","1B"
"66","Jonathan Villar","MIL","SS"
"67","Albert Pujols","LAA","DH"
"68","Julio Teheran","ATL","SP"
"69","Elvis Andrus","TEX","SS"
"70","Seunghwan Oh","STL","RP"
"71","Justin Turner","LAD","3B"
"72","Martin Prado","MIA","3B"
"73","Anthony Rendon","WSH","3B"
"","Cody Allen","CLE","RP"
"75","Ian Kinsler","DET","2B"
"76","Yoenis Cespedes","NYM","LF"
"77","George Springer","HOU","RF"
"","Francisco Lindor","CLE","SS"
"79","Wilson Ramos","WSH","C"
"80","Evan Longoria","TB","3B"
"81","Chris Davis","BAL","1B"
"82","Jake Lamb","ARI","3B"
"","Junior Guerra","MIL","SP"
"84","Ben Zobrist","CHC","2B"
"","Jeurys Familia","NYM","RP"
"86","Marco Estrada","TOR","SP"
"87","Starling Marte","PIT","LF"
"88","Brian Dozier","MIN","2B"
"","Mychal Givens","BAL","RP"
"90","Jonathan Lucroy","TEX","C"
"91","Mark Trumbo","BAL","RF"
"92","Melky Cabrera","CHW","LF"
"93","Stephen Piscotty","STL","RF"
"94","Nate Jones","CHW","RP"
"","Chris Devenski","HOU","RP"
"","Dan Straily","CIN","SP"
"97","Buster Posey","SF","C"
"98","Michael Fulmer","DET","SP"
"99","Jacob deGrom","NYM","SP"
"100","Drew Pomeranz","BOS","SP"
