"Rank","Player","Team","Position"
"1","Joey Votto","CIN","1B"
"2","Albert Pujols","STL","1B"
"3","Miguel Cabrera","DET","1B"
"4","Josh Hamilton","TEX","LF"
"5","Roy Halladay","PHI","SP"
"6","Felix Hernandez","SEA","SP"
"","Robinson Cano","NYY","2B"
"8","Jose Bautista","TOR","RF"
"9","Adrian Gonzalez","SD","1B"
"10","Paul Konerko","CHW","1B"
"","Matt Holliday","STL","LF"
"12","Adam Wainwright","STL","SP"
"13","Carlos Gonzalez","COL","LF"
"14","Evan Longoria","TB","3B"
"15","Aubrey Huff","SF","1B"
"16","Carl Demonte Crawford","TB","LF"
"17","Ryan Braun","MIL","LF"
"18","Shin-Soo Choo","CLE","RF"
"19","Roy Oswalt","PHI","SP"
"20","Ubaldo Jimenez","COL","SP"
"21","Jered Weaver","LAA","SP"
"22","Jayson Werth","PHI","RF"
"23","CC Sabathia","NYY","SP"
"24","Dan Uggla","FLA","2B"
"25","Ryan Zimmerman","WSH","3B"
"26","Joe Mauer","MIN","C"
"27","David Price","TB","SP"
"28","Rickie Weeks","MIL","2B"
"29","Josh Johnson","FLA","SP"
"30","David Wright","NYM","3B"
"31","Jon Lester","BOS","SP"
"32","Hanley Ramirez","FLA","SS"
"33","Alex Rodriguez","NYY","3B"
"34","Tim Hudson","ATL","SP"
"35","Troy Tulowitzki","COL","SS"
"36","David Ortiz","BOS","DH"
"37","Prince Fielder","MIL","1B"
"38","Brian Wilson","SF","RP"
"39","Nick Swisher","NYY","RF"
"40","Cliff Lee","TEX","SP"
"41","Nelson Cruz","TEX","RF"
"42","Justin Verlander","DET","SP"
"43","Kelly Johnson","ARI","2B"
"44","Rafael Soriano","TB","RP"
"","Cole Hamels","PHI","SP"
"46","Kevin Youkilis","BOS","3B"
"47","Andrew McCutchen","PIT","CF"
"48","Matt Cain","SF","SP"
"49","Billy Butler","KC","DH"
"","Carlos Marmol","CHC","RP"
"51","Neftali Feliz","TEX","RP"
"52","Corey Hart","MIL","RF"
"53","Joakim Soria","KC","RP"
"54","Chase Utley","PHI","2B"
"55","Johan Santana","NYM","SP"
"56","Brian McCann","ATL","C"
"57","Clayton Kershaw","LAD","SP"
"58","Adam Dunn","WSH","DH"
"59","Alex Rios","CHW","CF"
"","Martin Prado","ATL","LF"
"","Mat Latos","SD","SP"
"62","Brett Myers","HOU","SP"
"63","Chris Young","ARI","CF"
"64","Billy Wagner","ATL","RP"
"65","Adrian Beltre","BOS","3B"
"","Mark Teixeira","NYY","1B"
"67","Jason Heyward","ATL","RF"
"68","Tim Lincecum","SF","SP"
"69","C.J. Wilson","TEX","SP"
"70","Scott Rolen","CIN","3B"
"71","Daniel Bard","BOS","RP"
"72","Vladimir Guerrero","TEX","DH"
"73","Vernon Wells","TOR","CF"
"74","Carlos Ruiz","PHI","C"
"75","Luke Scott","BAL","DH"
"76","Clay Buchholz","BOS","SP"
"77","Joaquin Benoit","TB","RP"
"78","Hong-Chih Kuo","LAD","RP"
"79","Brett Gardner","NYY","LF"
"80","Heath Bell","SD","RP"
"81","Andres Torres","SF","CF"
"82","Nick Markakis","BAL","RF"
"83","Mariano Rivera","NYY","RP"
"84","Trevor Cahill","OAK","SP"
"85","Victor Martinez","BOS","DH"
"86","Gio Gonzalez","OAK","SP"
"87","John Danks","CHW","SP"
"88","Dustin Pedroia","BOS","2B"
"89","Chris Carpenter","STL","SP"
"90","Stephen Drew","ARI","SS"
"91","Jay Bruce","CIN","RF"
"92","Jonathan Sanchez","SF","SP"
"93","Andre Ethier","LAD","RF"
"94","Delmon Young","MIN","LF"
"","Hunter Pence","HOU","RF"
"96","R.A. Dickey","NYM","SP"
"97","Placido Polanco","PHI","3B"
"98","Mike Adams","SD","RP"
"99","Colby Lewis","TEX","SP"
"","Austin Jackson","DET","CF"
