"Rank","Player","Team","Position"
"1","Joey Votto","CIN","1B"
"2","Corey Kluber","CLE","SP"
"3","Giancarlo Stanton","MIA","RF"
"4","Charlie Blackmon","COL","CF"
"5","Chris Sale","BOS","SP"
"6","Nolan Arenado","COL","3B"
"7","Max Scherzer","WSH","SP"
"8","Anthony Rizzo","CHC","1B"
"9","Kenley Jansen","LAD","RP"
"10","Clayton Kershaw","LAD","SP"
"11","Jose Altuve","HOU","2B"
"12","Craig Kimbrel","BOS","RP"
"13","Marcell Ozuna","MIA","LF"
"14","Mike Trout","LAA","CF"
"15","Carlos Carrasco","CLE","SP"
"16","Nelson Cruz","SEA","DH"
"17","Stephen Strasburg","WSH","SP"
"","Luis Severino","NYY","SP"
"19","Zack Greinke","ARI","SP"
"20","Paul Goldschmidt","ARI","1B"
"21","Bryce Harper","WSH","RF"
"22","Daniel Murphy","WSH","2B"
"23","Gio Gonzalez","WSH","SP"
"24","Justin Verlander","HOU","SP"
"25","Ryan Zimmerman","WSH","1B"
"26","Mookie Betts","BOS","RF"
"","Cody Bellinger","LAD","1B"
"28","Corey Knebel","MIL","RP"
"29","Aaron Judge","NYY","RF"
"30","Khris Davis","OAK","LF"
"31","Jose Abreu","CHW","1B"
"32","J.D. Martinez","ARI","RF"
"","Anthony Rendon","WSH","3B"
"34","Ervin Santana","MIN","SP"
"35","George Springer","HOU","CF"
"36","Francisco Lindor","CLE","SS"
"","Jake Lamb","ARI","3B"
"38","Justin Turner","LAD","3B"
"","Christian Yelich","MIA","CF"
"40","Edwin Encarnacion","CLE","DH"
"41","Justin Upton","LAA","LF"
"42","Tommy Pham","STL","LF"
"","Dallas Keuchel","HOU","SP"
"44","Marcus Stroman","TOR","SP"
"45","Wade Davis","CHC","RP"
"","Drew Pomeranz","BOS","SP"
"47","Chase Anderson","MIL","SP"
"48","Brad Peacock","HOU","SP"
"","Kris Bryant","CHC","3B"
"50","Freddie Freeman","ATL","1B"
"51","Eric Hosmer","KC","1B"
"","Felipe Vazquez","PIT","RP"
"53","Andrew Miller","CLE","RP"
"","Elvis Andrus","TEX","SS"
"55","Alex Wood","LAD","SP"
"56","Robbie Ray","ARI","SP"
"57","Jay Bruce","CLE","RF"
"58","Brad Hand","SD","RP"
"59","Brian Dozier","MIN","2B"
"60","Andrew McCutchen","PIT","CF"
"61","Corey Seager","LAD","SS"
"62","Raisel Iglesias","CIN","RP"
"63","Jonathan Schoop","BAL","2B"
"64","Josh Donaldson","TOR","3B"
"65","Jimmy Nelson","MIL","SP"
"66","Joe Mauer","MIN","1B"
"","David Robertson","NYY","RP"
"","Jacob deGrom","NYM","SP"
"69","Marwin Gonzalez","HOU","LF"
"70","Mike Clevinger","CLE","SP"
"71","Sean Doolittle","WSH","RP"
"72","Alex Colome","TB","RP"
"73","Robinson Cano","SEA","2B"
"","Avisail Garcia","CHW","RF"
"","Travis Shaw","MIL","3B"
"76","Jose Ramirez","CLE","3B"
"77","Lance Lynn","STL","SP"
"78","Justin Smoak","TOR","1B"
"79","James Paxton","SEA","SP"
"80","Brett Gardner","NYY","LF"
"81","Yusmeiro Petit","LAA","RP"
"82","Manny Machado","BAL","3B"
"83","Chad Green","NYY","RP"
"84","Domingo Santana","MIL","RF"
"85","Carlos Correa","HOU","SS"
"86","Zack Cozart","CIN","SS"
"87","Matt Carpenter","STL","1B"
"88","Kyle Hendricks","CHC","SP"
"","Zach Davies","MIL","SP"
"90","Carlos Martinez","STL","SP"
"91","Josh Reddick","HOU","RF"
"","Steven Souza Jr.","TB","RF"
"","Chris Taylor","LAD","CF"
"94","Alex Cobb","TB","SP"
"95","Andrew Cashner","TEX","SP"
"96","Buster Posey","SF","C"
"97","Nick Castellanos","DET","3B"
"98","Ken Giles","HOU","RP"
"99","Pat Neshek","COL","RP"
"100","Jed Lowrie","OAK","2B"
