"Rank","Player","Team","Position"
"1","Albert Pujols","STL","1B"
"2","Manny Ramirez","LA","DH"
"3","Lance Berkman","HOU","RF"
"4","Roy Halladay","TOR","SP"
"5","CC Sabathia","MIL","SP"
"6","Hanley Ramirez","FLA","SS"
"7","Cliff Lee","CLE","SP"
"8","Tim Lincecum","SF","SP"
"9","Mark Teixeira","LAA","1B"
"10","David Wright","NYM","3B"
"11","Carlos Ivan Beltran","NYM","RF"
"","Johan Santana","NYM","SP"
"13","Joe Mauer","MIN","C"
"14","Josh Hamilton","TEX","CF"
"15","Matt Holliday","COL","LF"
"16","Dustin Pedroia","BOS","2B"
"17","Brandon Webb","ARI","SP"
"18","Cole Hamels","PHI","SP"
"19","Ervin Santana","LAA","SP"
"20","Chipper Jones","ATL","3B"
"21","Ryan Dempster","CHC","SP"
"22","Grady Sizemore","CLE","CF"
"23","Mariano Rivera","NYY","RP"
"","Chase Utley","PHI","2B"
"25","Kevin Youkilis","BOS","3B"
"26","Ryan Ludwick","STL","RF"
"27","Jason Bay","BOS","LF"
"28","Rich Harden","CHC","SP"
"29","Dan Haren","ARI","SP"
"30","Carlos Quentin","CWS","RF"
"31","Nick Markakis","BAL","RF"
"32","Adrian Gonzalez","SD","1B"
"33","Joakim Soria","KC","RP"
"34","Nate McLouth","PIT","CF"
"35","Ryan Braun","MIL","LF"
"36","Milton Bradley","TEX","RF"
"37","Aubrey Huff","BAL","DH"
"38","Carlos Pena","TB","1B"
"39","Jon Lester","BOS","SP"
"40","Brian Roberts","BAL","2B"
"41","Mike Mussina","NYY","SP"
"42","Joe Nathan","MIN","RP"
"43","Ian Kinsler","TEX","2B"
"44","Dan Uggla","FLA","2B"
"45","Adam Dunn","ARI","DH"
"46","Justin Morneau","MIN","1B"
"47","Carlos Lee","HOU","LF"
"48","Andre Ethier","LA","RF"
"49","Curtis Granderson","DET","CF"
"50","John Danks","CWS","SP"
"51","Troy Glaus","STL","3B"
"52","Jake Peavy","SD","SP"
"53","Alex Rodriguez","NYY","3B"
"54","Zack Greinke","KC","SP"
"55","Ben Sheets","MIL","SP"
"56","Edinson Volquez","CIN","SP"
"57","Daisuke Matsuzaka","BOS","SP"
"58","Miguel Cabrera","DET","1B"
"59","Brad Lidge","PHI","RP"
"60","Aramis Ramirez","CHC","3B"
"61","Chad Billingsley","LA","SP"
"62","Jose Reyes","NYM","SS"
"63","Raul Ibanez","SEA","LF"
"64","Pat Burrell","PHI","LF"
"65","Randy Winn","SF","RF"
"","Xavier Nady","NYY","RF"
"67","Roy Oswalt","HOU","SP"
"68","Ricky Nolasco","FLA","SP"
"69","J.P. Howell","TB","RP"
"70","Derek Lowe","LA","SP"
"71","B.J. Upton","TB","CF"
"72","Vladimir Guerrero","LAA","DH"
"73","Bobby Abreu","NYY","DH"
"","Carlos Marmol","CHC","RP"
"75","Jonathan Papelbon","BOS","RP"
"76","Mark DeRosa","CHC","LF"
"77","Carlos Delgado","NYM","1B"
"78","Joey Votto","CIN","1B"
"79","Grant Balfour","TB","RP"
"80","Brian McCann","ATL","C"
"81","Justin Duchscherer","OAK","SP"
"82","Jose Lopez","SEA","3B"
"83","Russell Martin","LA","C"
"84","Scott Baker","MIN","SP"
"85","Joba Chamberlain","NYY","RP"
"86","J.J. Hardy","MIL","SS"
"87","Aaron Cook","COL","SP"
"88","Mark Buehrle","CWS","SP"
"89","James Shields","TB","SP"
"90","Johnny Damon","NYY","DH"
"91","Brian Giles","SD","LF"
"92","Felix Hernandez","SEA","SP"
"93","Kelly Johnson","ATL","2B"
"94","Shin-Soo Choo","CLE","RF"
"95","Jack Cust","OAK","DH"
"96","Joe Saunders","LAA","SP"
"97","Ryan Howard","PHI","1B"
"98","Geovany Soto","CHC","C"
"99","Chris Iannetta","COL","C"
"100","Prince Fielder","MIL","1B"
