"Rank","Player","Team","Position"
"1","Matt Kemp","LAD","CF"
"2","Miguel Cabrera","DET","1B"
"","Jose Bautista","TOR","RF"
"4","Ryan Braun","MIL","LF"
"5","Jacoby Ellsbury","BOS","CF"
"","Joey Votto","CIN","1B"
"7","Justin Verlander","DET","SP"
"8","Prince Fielder","MIL","1B"
"9","Cliff Lee","PHI","SP"
"10","Adrian Gonzalez","BOS","1B"
"11","Roy Halladay","PHI","SP"
"","Clayton Kershaw","LAD","SP"
"13","Albert Pujols","STL","1B"
"14","Jered Weaver","LAA","SP"
"15","Curtis Granderson","NYY","CF"
"","Robinson Cano","NYY","2B"
"17","James Shields","TB","SP"
"18","Dustin Pedroia","BOS","2B"
"19","Lance Berkman","STL","RF"
"20","Alex Gordon","KC","LF"
"21","Justin Upton","ARI","RF"
"22","Hunter Pence","PHI","RF"
"23","Ian Kinsler","TEX","2B"
"24","Cole Hamels","PHI","SP"
"25","CC Sabathia","NYY","SP"
"26","Troy Tulowitzki","COL","SS"
"27","Andrew McCutchen","PIT","CF"
"28","Dan Haren","LAA","SP"
"29","Paul Konerko","CHW","1B"
"30","Ian Kennedy","ARI","SP"
"31","Carlos Ivan Beltran","SF","RF"
"32","Jose Reyes","NYM","SS"
"33","Michael Young","TEX","DH"
"34","Alex Avila","DET","C"
"35","David Ortiz","BOS","DH"
"36","Michael Morse","WSH","1B"
"37","Evan Longoria","TB","3B"
"38","Ricky Romero","TOR","SP"
"39","Doug Fister","DET","SP"
"40","Tyler Clippard","WSH","RP"
"41","C.J. Wilson","TEX","SP"
"42","Josh Hamilton","TEX","LF"
"43","Tim Lincecum","SF","SP"
"","David Robertson","NYY","RP"
"45","Carlos Gonzalez","COL","LF"
"46","Josh Beckett","BOS","SP"
"47","Mariano Rivera","NYY","RP"
"48","Giancarlo Stanton","FLA","RF"
"49","Victor Martinez","DET","DH"
"50","Matt Holliday","STL","LF"
"51","Brandon Phillips","CIN","2B"
"52","Mike Anthony Napoli","TEX","C"
"53","Shane Victorino","PHI","CF"
"54","Matt Cain","SF","SP"
"","Craig Kimbrel","ATL","RP"
"56","J.J. Putz","ARI","RP"
"57","Aramis Ramirez","CHC","3B"
"58","Mike Adams","TEX","RP"
"59","Adrian Beltre","TEX","3B"
"","Koji Uehara","TEX","RP"
"61","Pablo Sandoval","SF","3B"
"62","Ben Zobrist","TB","2B"
"63","Jonny Venters","ATL","RP"
"","Greg Holland","KC","RP"
"65","John Axford","MIL","RP"
"66","Melky Cabrera","KC","CF"
"67","Jonathan Papelbon","BOS","RP"
"68","Michael Bourn","ATL","CF"
"69","Sergio Romo","SF","RP"
"70","Drew Storen","WSH","RP"
"71","Eric O'Flaherty","ATL","RP"
"72","Yunel Escobar","TOR","SS"
"73","Felix Hernandez","SEA","SP"
"74","Starlin Castro","CHC","SS"
"75","Nick Swisher","NYY","RF"
"76","Madison Bumgarner","SF","SP"
"77","B.J. Upton","TB","CF"
"78","Carlos Santana","CLE","C"
"79","Todd Helton","COL","1B"
"","Miguel Montero","ARI","C"
"81","Sean Marshall","CHC","RP"
"82","Jhonny Peralta","DET","SS"
"83","Joel Hanrahan","PIT","RP"
"84","Elvis Andrus","TEX","SS"
"85","Kevin Youkilis","BOS","3B"
"","Ervin Santana","LAA","SP"
"87","Billy Butler","KC","DH"
"88","Jeremy Hellickson","TB","SP"
"89","Chris Young","ARI","CF"
"90","Neil Walker","PIT","2B"
"91","Yadier Molina","STL","C"
"92","Adam Jones","BAL","CF"
"93","Justin Masterson","CLE","SP"
"","Daniel Hudson","ARI","SP"
"95","Ryan Madson","PHI","RP"
"","Nyjer Morgan","MIL","CF"
"97","Tim Hudson","ATL","SP"
"98","Jay Bruce","CIN","RF"
"99","Corey Hart","MIL","RF"
"100","Carlos Lee","HOU","LF"
