"Rank","Player","Team","Position"
"1","Christian Yelich","MIL","RF"
"2","J.D. Martinez","BOS","DH"
"3","Mookie Betts","BOS","RF"
"4","Jose Ramirez","CLE","2B"
"5","Nolan Arenado","COL","3B"
"6","Alex Bregman","HOU","3B"
"7","Mike Trout","LAA","CF"
"8","Manny Machado","LAD","SS"
"9","Francisco Lindor","CLE","SS"
"10","Freddie Freeman","ATL","1B"
"11","Trevor Story","COL","SS"
"12","Aaron Nola","PHI","SP"
"13","Max Scherzer","WSH","SP"
"14","Bryce Harper","WSH","RF"
"15","Javier Baez","CHC","SS"
"16","Blake Snell","TB","SP"
"17","Charlie Blackmon","COL","CF"
"18","Justin Verlander","HOU","SP"
"19","Paul Goldschmidt","ARI","1B"
"20","Corey Kluber","CLE","SP"
"21","Jacob deGrom","NYM","SP"
"22","Matt Carpenter","STL","1B"
"23","Andrew Benintendi","BOS","LF"
"24","Chris Sale","BOS","SP"
"25","Gerrit Cole","HOU","SP"
"26","Anthony Rendon","WSH","3B"
"27","Mitch Haniger","SEA","RF"
"28","Giancarlo Stanton","NYY","LF"
"29","Nick Markakis","ATL","RF"
"","Khris Davis","OAK","LF"
"31","Edwin Diaz","SEA","RP"
"32","Miles Mikolas","STL","SP"
"33","Trevor Bauer","CLE","SP"
"34","Whit Merrifield","KC","2B"
"35","Scooter Gennett","CIN","2B"
"36","Eugenio Suarez","CIN","3B"
"37","Nick Castellanos","DET","RF"
"38","Anthony Rizzo","CHC","1B"
"","Blake Treinen","OAK","RP"
"40","Trea Turner","WSH","SS"
"41","Rhys Hoskins","PHI","LF"
"42","Michael Brantley","CLE","LF"
"43","Patrick Corbin","ARI","SP"
"44","Lorenzo Cain","MIL","CF"
"45","Jose Altuve","HOU","2B"
"46","Luis Severino","NYY","SP"
"47","Xander Bogaerts","BOS","SS"
"48","Kyle Freeland","COL","SP"
"49","Miguel Andujar","NYY","3B"
"50","Carlos Carrasco","CLE","SP"
"51","Jed Lowrie","OAK","2B"
"52","Mike Clevinger","CLE","SP"
"53","Jesus Aguilar","MIL","1B"
"54","Mike Foltynewicz","ATL","SP"
"55","Charlie Morton","HOU","SP"
"56","Zack Greinke","ARI","SP"
"57","Aaron Hicks","NYY","CF"
"58","Matt Chapman","OAK","3B"
"59","Ozzie Albies","ATL","2B"
"60","David Peralta","ARI","RF"
"61","Craig Kimbrel","BOS","RP"
"62","Noah Syndergaard","NYM","SP"
"63","Max Muncy","LAD","1B"
"64","Jameson Taillon","PIT","SP"
"65","Tommy Pham","TB","CF"
"66","Walker Buehler","LAD","SP"
"67","Jon Lester","CHC","SP"
"68","Edwin Encarnacion","CLE","1B"
"69","Didi Gregorius","NYY","SS"
"70","Cesar Hernandez","PHI","2B"
"71","Justin Turner","LAD","3B"
"72","Matt Olson","OAK","1B"
"73","Andrew McCutchen","NYY","CF"
"74","George Springer","HOU","CF"
"75","Jean Segura","SEA","SS"
"76","Carlos Santana","PHI","1B"
"77","Zack Wheeler","NYM","SP"
"78","Nelson Cruz","SEA","DH"
"79","Clayton Kershaw","LAD","SP"
"80","Joey Votto","CIN","1B"
"81","Wade Davis","COL","RP"
"","Aroldis Chapman","NYY","RP"
"","Joey Gallo","TEX","3B"
"","Aaron Judge","NYY","RF"
"85","Jose Martinez","STL","1B"
"86","Kenley Jansen","LAD","RP"
"87","Stephen Piscotty","OAK","RF"
"88","J.A. Happ","NYY","SP"
"89","Shin-Soo Choo","TEX","RF"
"","Marcus Semien","OAK","SS"
"91","Trevor Williams","PIT","SP"
"92","Juan Soto","WSH","LF"
"93","Travis Shaw","MIL","2B"
"94","Ben Zobrist","CHC","LF"
"95","Brandon Nimmo","NYM","CF"
"","Josh Hader","MIL","RP"
"","Kyle Hendricks","CHC","SP"
"98","Brian Anderson","MIA","3B"
"99","Justin Upton","LAA","LF"
"","Cody Bellinger","LAD","CF"
