"Rank","Player","Team","Position"
"1","Marcell Ozuna","ATL","LF"
"2","Freddie Freeman","ATL","1B"
"3","Trea Turner","WSH","SS"
"4","Jose Abreu","CHW","1B"
"5","Jose Ramirez","CLE","3B"
"6","Manny Machado","SD","3B"
"7","Fernando Tatis Jr.","SD","SS"
"8","Mookie Betts","LAD","RF"
"9","Shane Bieber","CLE","SP"
"10","Juan Soto","WSH","LF"
"11","Corey Seager","LAD","SS"
"12","Mike Trout","LAA","CF"
"13","DJ LeMahieu","NYY","2B"
"14","Yu Darvish","CHC","SP"
"15","Ronald Acuna Jr.","ATL","CF"
"16","Michael Conforto","NYM","RF"
"17","Bryce Harper","PHI","RF"
"18","Trevor Bauer","CIN","SP"
"19","Luke Voit","NYY","1B"
"20","Mike Yastrzemski","SF","RF"
"21","Corbin Burnes","MIL","RP"
"22","Dallas Keuchel","CHW","SP"
"23","Gerrit Cole","NYY","SP"
"24","Trevor Story","COL","SS"
"25","Brandon Lowe","TB","2B"
"26","Dansby Swanson","ATL","SS"
"27","Jacob deGrom","NYM","SP"
"28","Cavan Biggio","TOR","2B"
"29","Wil Myers","SD","CF"
"30","Dinelson Lamet","SD","SP"
"31","Kenta Maeda","MIN","SP"
"32","Nelson Cruz","MIN","DH"
"33","Liam Hendriks","OAK","RP"
"34","Dominic Smith","NYM","1B"
"35","Tim Anderson","CHW","SS"
"36","Kyle Hendricks","CHC","SP"
"37","Max Fried","ATL","SP"
"38","Clayton Kershaw","LAD","SP"
"39","Charlie Blackmon","COL","RF"
"40","Zach Davies","SD","SP"
"","Eloy Jimenez","CHW","LF"
"42","Kole Calhoun","ARI","RF"
"43","Alex Colome","CHW","RP"
"","Hyun Jin Ryu","TOR","SP"
"45","Lance Lynn","TEX","SP"
"","Trent Grisham","SD","RF"
"47","George Springer","HOU","CF"
"48","Chris Bassitt","OAK","SP"
"49","Marco Gonzales","SEA","SP"
"50","Mark Canha","OAK","CF"
"51","Xander Bogaerts","BOS","SS"
"52","Kyle Seager","SEA","3B"
"53","Anthony Rendon","LAA","3B"
"54","Paul Goldschmidt","STL","1B"
"55","Rafael Devers","BOS","3B"
"56","Brad Hand","CLE","RP"
"57","Zack Wheeler","PHI","SP"
"58","Nick Castellanos","CIN","RF"
"59","Whit Merrifield","KC","2B"
"60","Kyle Tucker","HOU","RF"
"61","Didi Gregorius","PHI","SS"
"62","Brad Keller","KC","SP"
"63","Kwang Hyun Kim","STL","SP"
"64","Trevor Rosenthal","SD","RP"
"65","Matt Olson","OAK","1B"
"66","Zac Gallen","ARI","SP"
"67","Randal Grichuk","TOR","CF"
"68","Eddie Rosario","MIN","RF"
"69","Teoscar Hernandez","TOR","LF"
"70","Josh Hader","MIL","RP"
"71","Zach Plesac","CLE","SP"
"72","Brandon Belt","SF","1B"
"","Lucas Giolito","CHW","SP"
"74","Dylan Bundy","LAA","SP"
"75","Brandon Woodruff","MIL","SP"
"76","Brandon Nimmo","NYM","CF"
"77","Eugenio Suarez","CIN","3B"
"78","Travis d'Arnaud","ATL","C"
"79","Devin Williams","MIL","RP"
"","Framber Valdez","HOU","SP"
"81","Aaron Nola","PHI","SP"
"82","Kyle Lewis","SEA","RF"
"83","Starling Marte","MIA","CF"
"84","Ian Happ","CHC","CF"
"85","Cesar Hernandez","CLE","2B"
"86","Christian Yelich","MIL","RF"
"87","Tony Gonsolin","LAD","SP"
"88","David Fletcher","LAA","3B"
"89","Jose Iglesias","BAL","SS"
"","Jeremy Jeffress","CHC","RP"
"91","Pete Alonso","NYM","1B"
"92","Lourdes Gurriel Jr.","TOR","LF"
"93","Chris Taylor","LAD","LF"
"94","Alec Bohm","PHI","3B"
"95","Christian Walker","ARI","1B"
"96","Antonio Senzatela","COL","SP"
"97","Cody Bellinger","LAD","CF"
"98","Justin Turner","LAD","3B"
"99","Willson Contreras","CHC","C"
"100","AJ Pollock","LAD","LF"
