"Rank","Player","Team","Position"
"1","Aaron Judge","NYY","CF"
"2","Paul Goldschmidt","STL","1B"
"3","Freddie Freeman","LAD","1B"
"4","Yordan Alvarez","HOU","DH"
"5","Manny Machado","SD","3B"
"6","Jose Ramirez","CLE","3B"
"7","Trea Turner","LAD","SS"
"8","Pete Alonso","NYM","1B"
"9","Jose Altuve","HOU","2B"
"10","Austin Riley","ATL","3B"
"11","Justin Verlander","HOU","SP"
"12","Nolan Arenado","STL","3B"
"13","Mookie Betts","LAD","RF"
"","Sandy Alcantara","MIA","SP"
"15","Jose Abreu","CHW","1B"
"16","Rafael Devers","BOS","3B"
"17","Francisco Lindor","NYM","SS"
"18","Vladimir Guerrero Jr.","TOR","1B"
"19","Xander Bogaerts","BOS","SS"
"20","Emmanuel Clase","CLE","RP"
"21","Alex Bregman","HOU","3B"
"22","Bo Bichette","TOR","SS"
"23","Dansby Swanson","ATL","SS"
"24","Dylan Cease","CHW","SP"
"25","Alek Manoah","TOR","SP"
"26","Brandon Nimmo","NYM","CF"
"27","Matt Olson","ATL","1B"
"28","Kyle Schwarber","PHI","LF"
"29","Max Fried","ATL","SP"
"30","Zac Gallen","ARI","SP"
"31","Julio Urias","LAD","SP"
"32","Framber Valdez","HOU","SP"
"33","Mike Trout","LAA","CF"
"34","Shohei Ohtani","LAA","SP"
"35","Steven Kwan","CLE","LF"
"36","Jeff McNeil","NYM","2B"
"37","Tyler Anderson","LAD","SP"
"","Tony Gonsolin","LAD","SP"
"39","Edwin Diaz","NYM","RP"
"40","Marcus Semien","TEX","2B"
"41","Corbin Burnes","MIL","SP"
"42","Juan Soto","SD","RF"
"43","Kyle Tucker","HOU","RF"
"44","Nathaniel Lowe","TEX","1B"
"45","Carlos Rodon","SF","SP"
"46","Adolis Garcia","TEX","RF"
"47","Logan Webb","SF","SP"
"48","Shane Bieber","CLE","SP"
"49","Luis Arraez","MIN","1B"
"50","Julio Rodriguez","SEA","CF"
"51","Clayton Kershaw","LAD","SP"
"52","Christian Yelich","MIL","LF"
"53","Christian Walker","ARI","1B"
"54","Yu Darvish","SD","SP"
"55","Willy Adames","MIL","SS"
"56","Corey Seager","TEX","SS"
"57","Nestor Cortes","NYY","SP"
"58","Daniel Bard","COL","RP"
"59","Andres Gimenez","CLE","2B"
"60","Shane McClanahan","TB","SP"
"61","Amed Rosario","CLE","SS"
"62","C.J. Cron","COL","1B"
"63","Jake Cronenworth","SD","2B"
"64","Ryan Helsley","STL","RP"
"65","J.T. Realmuto","PHI","C"
"66","Max Scherzer","NYM","SP"
"67","Carlos Correa","MIN","SS"
"68","George Springer","TOR","CF"
"69","Eugenio Suarez","SEA","3B"
"70","Anthony Santander","BAL","RF"
"71","Spencer Strider","ATL","SP"
"72","Yandy Diaz","TB","3B"
"73","Rhys Hoskins","PHI","1B"
"74","Randy Arozarena","TB","LF"
"75","Will Smith","LAD","C"
"76","Brandon Drury","SD","1B"
"77","Aaron Nola","PHI","SP"
"78","Tommy Edman","STL","2B"
"79","Josh Bell","SD","1B"
"","Cristian Javier","HOU","SP"
"81","Cedric Mullins","BAL","CF"
"82","Jordan Romano","TOR","RP"
"83","Kyle Wright","ATL","SP"
"84","Martin Perez","TEX","SP"
"85","Alejandro Kirk","TOR","C"
"86","Bobby Witt Jr.","KC","SS"
"87","Matt Chapman","TOR","3B"
"88","Kenley Jansen","ATL","RP"
"89","Rowdy Tellez","MIL","1B"
"90","Liam Hendriks","CHW","RP"
"","Triston McKenzie","CLE","SP"
"92","Evan Phillips","LAD","RP"
"93","Ty France","SEA","1B"
"94","Justin Turner","LAD","3B"
"95","Brandon Woodruff","MIL","SP"
"96","Anthony Rizzo","NYY","1B"
"97","Taylor Ward","LAA","RF"
"98","Ian Happ","CHC","LF"
"99","Bryan Reynolds","PIT","CF"
"100","Jason Adam","TB","RP"
