"Rank","Player","Team","Position"
"1","Miguel Cabrera","DET","3B"
"2","Ryan Braun","MIL","LF"
"3","Mike Trout","LAA","CF"
"4","Andrew McCutchen","PIT","CF"
"5","Justin Verlander","DET","SP"
"6","Buster Posey","SF","C"
"7","Prince Fielder","DET","1B"
"8","Chase Headley","SD","3B"
"9","Clayton Kershaw","LAD","SP"
"10","David Wright","NYM","3B"
"11","Edwin Encarnacion","TOR","1B"
"12","David Price","TB","SP"
"13","Fernando Rodney","TB","RP"
"14","R.A. Dickey","NYM","SP"
"15","Robinson Cano","NYY","2B"
"16","Aramis Ramirez","MIL","3B"
"17","Joey Votto","CIN","1B"
"18","Josh Willingham","MIN","LF"
"","Craig Kimbrel","ATL","RP"
"20","Josh Hamilton","TEX","CF"
"21","Adrian Beltre","TEX","3B"
"22","Felix Hernandez","SEA","SP"
"23","Joe Mauer","MIN","C"
"24","Cole Hamels","PHI","SP"
"25","Billy Butler","KC","DH"
"26","Adam Jones","BAL","CF"
"27","Austin Jackson","DET","CF"
"28","Albert Pujols","LAA","1B"
"29","Matt Holliday","STL","LF"
"30","Yadier Molina","STL","C"
"31","Chris Sale","CHW","SP"
"32","Ben Zobrist","TB","RF"
"33","Aaron Hill","ARI","2B"
"34","Aroldis Chapman","CIN","RP"
"35","Matt Cain","SF","SP"
"36","Alex Rios","CHW","RF"
"37","Kyle Lohse","STL","SP"
"","Cliff Lee","PHI","SP"
"39","Melky Cabrera","SF","LF"
"40","Johnny Cueto","CIN","SP"
"41","Giancarlo Stanton","MIA","RF"
"42","Gio Gonzalez","WSH","SP"
"43","Jered Weaver","LAA","SP"
"44","Adam LaRoche","WSH","1B"
"45","Adrian Gonzalez","LAD","1B"
"46","Angel Pagan","SF","CF"
"47","Jose Reyes","MIA","SS"
"48","Torii Hunter","LAA","RF"
"49","Jason Heyward","ATL","RF"
"50","Jake Peavy","CHW","SP"
"51","Shin-Soo Choo","CLE","RF"
"","Ryan Zimmerman","WSH","3B"
"53","CC Sabathia","NYY","SP"
"","Martin Prado","ATL","LF"
"55","Miguel Montero","ARI","C"
"56","Mat Latos","CIN","SP"
"57","Marco Scutaro","SF","2B"
"58","Zack Greinke","LAA","SP"
"59","Yoenis Cespedes","OAK","LF"
"60","Carlos Ruiz","PHI","C"
"61","Matt Kemp","LAD","CF"
"62","Jordan Zimmermann","WSH","SP"
"63","Darren O'Day","BAL","RP"
"64","Nick Swisher","NYY","RF"
"65","Ryan Cook","OAK","RP"
"66","Kris Medlen","ATL","RP"
"67","Carlos Gonzalez","COL","LF"
"","Sergio Romo","SF","RP"
"69","Dustin Pedroia","BOS","2B"
"70","Carlos Ivan Beltran","STL","RF"
"71","Tom Wilhelmsen","SEA","RP"
"72","Bryce Harper","WSH","CF"
"73","Alfonso Soriano","CHC","LF"
"","Hiroki Kuroda","NYY","SP"
"75","Michael Bourn","ATL","CF"
"76","Alex Gordon","KC","LF"
"77","Matt Harrison","TEX","SP"
"78","Carlos Santana","CLE","C"
"79","Stephen Strasburg","WSH","SP"
"80","Grant Balfour","OAK","RP"
"81","Casey Janssen","TOR","RP"
"82","Jim Johnson","BAL","RP"
"83","David Freese","STL","3B"
"84","Jake McGee","TB","RP"
"85","Wade Miley","ARI","SP"
"86","Paul Konerko","CHW","1B"
"87","Jay Bruce","CIN","RF"
"88","Kelvin Herrera","KC","RP"
"89","Jared Burton","MIN","RP"
"90","David Murphy","TEX","LF"
"","Elvis Andrus","TEX","SS"
"92","Curtis Granderson","NYY","CF"
"","James Shields","TB","SP"
"94","Kenley Jansen","LAD","RP"
"95","Ernesto Frieri","LAA","RP"
"96","Corey Hart","MIL","1B"
"97","Jason Motte","STL","RP"
"","Starlin Castro","CHC","SS"
"99","Ian Desmond","WSH","SS"
"100","Allen Craig","STL","1B"
